,Benjamin Pérès,Boris Sarrapio,Faustino Iguacel,Felipe Sánchez,Gavin Watson,Lazar Crnogorac,Ole Ferdik,Omar Menard,Wenceslao Juez
Benjamin Pérès,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Boris Sarrapio,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faustino Iguacel,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0
Felipe Sánchez,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0
Gavin Watson,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Lazar Crnogorac,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ole Ferdik,0.0,1.33,2.0,0.5,0.0,0.0,0.71,0.0,0.0
Omar Menard,0.0,0.0,1.5,2.0,0.0,0.0,0.8,1.58,0.0
Wenceslao Juez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
