,Cicerone Negrut,Constantí Sucarrats,David Cazorla,Einars Dzijums,Liu kangji,Liucius Kveškus,Sancho Cabanás,Tilo Starrock
Cicerone Negrut,0.0,1.5,0.0,1.0,1.0,0.0,2.0,1.0
Constantí Sucarrats,0.0,1.33,2.0,1.0,0.0,0.0,0.0,0.0
David Cazorla,0.0,1.0,0.86,1.0,2.0,0.0,0.0,0.0
Einars Dzijums,0.0,1.33,0.0,0.91,0.0,0.0,0.0,0.0
Liu kangji,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0
Liucius Kveškus,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Sancho Cabanás,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Tilo Starrock,0.0,1.0,0.0,1.0,1.5,0.0,0.0,0.0
