,Cicerone Negrut,Constantí Sucarrats,David Cazorla,Einars Dzijums,Liu kangji,Liucius Kveškus,Tilo Starrock
Cicerone Negrut,0.4,2.0,0.0,2.0,2.0,0.0,1.0
Constantí Sucarrats,0.0,1.0,2.0,0.0,0.0,2.0,2.0
David Cazorla,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Einars Dzijums,0.0,2.0,0.0,1.88,1.67,0.0,1.6
Liu kangji,0.0,0.0,0.0,0.0,0.86,0.0,0.0
Liucius Kveškus,0.0,0.0,0.0,0.0,0.0,0.74,0.0
Tilo Starrock,1.0,0.0,0.0,2.0,1.0,0.0,1.0
