,Constantí Sucarrats,David Cazorla,Einars Dzijums,Liu kangji,Liucius Kveškus,Nauryz Albaev,Tilo Starrock,Vassilis Tasopoulos
Constantí Sucarrats,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cazorla,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
Einars Dzijums,1.14,0.0,1.0,0.0,0.67,0.0,3.0,1.0
Liu kangji,0.0,2.0,0.0,0.5,0.0,2.0,2.0,0.0
Liucius Kveškus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nauryz Albaev,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0
Tilo Starrock,2.0,2.0,1.17,2.0,1.0,0.0,0.5,0.0
Vassilis Tasopoulos,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.25
