,Cicerone Negrut,Constantí Sucarrats,David Cazorla,Einars Dzijums,Irineu de Lima,Juan Fuentes,Liu kangji,Liucius Kveškus,Tilo Starrock
Cicerone Negrut,2,0,0,0,2,0,0,0,2
Constantí Sucarrats,0,2,0,0,2,0,2,2,0
David Cazorla,2,0,7,2,0,0,0,0,0
Einars Dzijums,0,2,2,4,2,0,0,4,2
Irineu de Lima,0,5,2,6,9,5,2,4,4
Juan Fuentes,0,0,0,2,0,4,0,0,0
Liu kangji,0,0,0,0,0,0,4,0,0
Liucius Kveškus,0,0,0,0,0,0,0,2,0
Tilo Starrock,6,0,0,0,0,0,2,2,0
