,Constantí Sucarrats,David Cazorla,Einars Dzijums,Liu kangji,Liucius Kveškus,Nauryz Albaev,Sancho Cabanás,Tilo Starrock,Vassilis Tasopoulos
Constantí Sucarrats,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cazorla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Einars Dzijums,1.17,0.0,0.6,0.0,0.67,1.0,2.0,1.0,0.0
Liu kangji,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
Liucius Kveškus,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
Nauryz Albaev,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sancho Cabanás,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0
Tilo Starrock,2.0,2.0,1.33,0.0,2.0,2.0,0.0,0.0,0.0
Vassilis Tasopoulos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
