,Benjamin Pérès,Boris Sarrapio,Faustino Iguacel,Felipe Sánchez,Gavin Watson,Ole Ferdik,Omar Menard
Benjamin Pérès,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Boris Sarrapio,0.0,0.4,2.0,0.0,0.0,0.0,2.0
Faustino Iguacel,1.0,0.0,0.78,0.0,0.0,0.0,1.0
Felipe Sánchez,2.0,0.0,2.0,1.86,0.0,2.0,0.0
Gavin Watson,0.0,0.0,2.0,0.0,0.4,0.0,0.0
Ole Ferdik,1.0,0.67,1.25,1.0,0.0,1.0,0.5
Omar Menard,0.0,1.0,0.0,1.0,0.0,0.0,0.29
